,objectid,nuts218cd,nuts218nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape,index,male_take,male_pass,female_take,female_pass,take,pass,Unnamed: 0,male_r,female_r,r
27,28,UKJ3,Hampshire and Isle of Wight,445931,135667,-1.34512997,51.11845016,4149328260.02821,933728.180270169,327031.0,302812.0,158436.0,322244.0,150202.0,625077.0,308650.0,151504610.0,0.5232157246080076,0.4661126351460384,0.4937791664066987
28,29,UKJ4,Kent,590108,148050,0.71976799,51.20001984,3739595841.22083,765175.518449903,191918.0,161414.0,84965.0,179157.0,83098.0,340576.0,168064.0,45660363.0,0.5263793722973225,0.46382781582634225,0.49346988631025085
29,30,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",383347,180249,-2.2414,51.52090073,7470872977.5441,870055.521658157,301861.0,304637.0,159226.0,325844.0,153383.0,630500.0,312621.0,63746011.0,0.5226745273883343,0.4707252550300144,0.4958302934179223
30,31,UKK2,Dorset and Somerset,362838,113805,-2.53008008,50.92248917,6104774915.13943,920409.318583002,91998.0,121459.0,71415.0,134299.0,71372.0,255763.0,142791.0,14901887.0,0.5879761894960439,0.5314410382802552,0.5582942020542455
31,32,UKK3,Cornwall and Isles of Scilly,212501,64494,-4.64248991,50.45022964,3565838438.58513,1315272.04300089,101554.0,54656.0,28820.0,58265.0,28075.0,112931.0,56902.0,52658774.0,0.5272980093676815,0.4818501673388827,0.503865192019906
32,33,UKK4,Devon,283141,93082,-3.65701008,50.72555923,6709883385.135,1109377.96907768,116541.0,140798.0,73572.0,155566.0,71702.0,296378.0,145279.0,49919858.0,0.5225358314748789,0.4609104817247985,0.49018145746310454
33,34,UKL1,West Wales,236647,236819,-4.38130999,52.0057106,13131269057.0522,2846300.22076963,407091.0,222223.0,123648.0,244021.0,120554.0,466253.0,244206.0,224482158.0,0.5564140525508161,0.49403125140869025,0.5237628497832721
34,35,UKL2,East Wales,312334,277025,-3.28945994,52.38422012,7650860888.03588,1309673.9504629,235990.0,126761.0,70836.0,136558.0,68650.0,263331.0,139491.0,114301805.0,0.558815408524704,0.5027167943291495,0.5297173519259032
35,36,UKM5,North Eastern Scotland,360864,814981,-2.64976001,57.22386932,6503696630.86615,779348.600824928,143885.0,51660.0,30316.0,57269.0,29397.0,109237.0,59880.0,1050338.0,0.5868370112272552,0.5133143585534932,0.5481659144795261
36,37,UKM6,Highlands and Islands,251287,833327,-4.47424984,57.36603165,41047036047.5769,16647691.1615397,778987.0,50643.0,29612.0,53988.0,28742.0,104644.0,58391.0,363639818.0,0.5847204944414826,0.5323775653849003,0.557996636214212
37,38,UKM7,Eastern Scotland,300521,733779,-3.61698008,56.48554993,13390052053.9503,1386845.15753573,374511.0,165478.0,89226.0,186213.0,89159.0,351726.0,178401.0,192170906.0,0.5392015857092786,0.4788011578139013,0.5072158441514133
38,39,UKM8,West Central Scotland,235646,684791,-4.63895988,56.02772903,1977512735.48752,604971.140025295,198138.0,273558.0,124251.0,295315.0,119201.0,568985.0,243491.0,130236305.0,0.4542034961507249,0.40364018082386605,0.42793922511138255
39,40,UKM9,Southern Scotland,291849,601430,-3.7047801,55.2950592,15884941902.6313,1562392.36799451,433426.0,105552.0,55248.0,124519.0,57157.0,230091.0,112418.0,160913267.0,0.5234197362437472,0.45902231787919917,0.48858060506495254
40,41,UKN0,Northern Ireland,86601,535325,-6.85481024,54.61494064,14333431706.5787,1131177.09054888,,,,,,,,,,,
